date,home_id,home_team,away_id,away_team,home_score,away_score,tournament,city,country,neutral
1872-11-30,47,Scotland,11,England,0,0,Friendly,Glasgow,Scotland,FALSE
1873-03-08,11,England,47,Scotland,4,2,Friendly,London,England,FALSE
1874-03-07,47,Scotland,11,England,2,1,Friendly,Glasgow,Scotland,FALSE
1875-03-06,11,England,47,Scotland,2,2,Friendly,London,England,FALSE
1876-03-04,47,Scotland,11,England,3,0,Friendly,Glasgow,Scotland,FALSE
1876-03-25,47,Scotland,,Wales,4,0,Friendly,Glasgow,Scotland,FALSE
1877-03-03,11,England,47,Scotland,1,3,Friendly,London,England,FALSE
1877-03-05,,Wales,47,Scotland,0,2,Friendly,Wrexham,Wales,FALSE
1878-03-02,47,Scotland,11,England,7,2,Friendly,Glasgow,Scotland,FALSE
1878-03-23,47,Scotland,,Wales,9,0,Friendly,Glasgow,Scotland,FALSE
1879-01-18,11,England,,Wales,2,1,Friendly,London,England,FALSE
1879-04-05,11,England,47,Scotland,5,4,Friendly,London,England,FALSE
1879-04-07,,Wales,47,Scotland,0,3,Friendly,Wrexham,Wales,FALSE
1880-03-13,47,Scotland,11,England,5,4,Friendly,Glasgow,Scotland,FALSE
1880-03-15,,Wales,11,England,2,3,Friendly,Wrexham,Wales,FALSE
1880-03-27,47,Scotland,,Wales,5,1,Friendly,Glasgow,Scotland,FALSE
1881-02-26,11,England,,Wales,0,1,Friendly,Blackburn,England,FALSE
1881-03-12,11,England,47,Scotland,1,6,Friendly,London,England,FALSE
1881-03-14,,Wales,47,Scotland,1,5,Friendly,Wrexham,Wales,FALSE
1882-02-18,,Northern Ireland,11,England,0,13,Friendly,Belfast,Ireland,FALSE
1882-03-11,47,Scotland,11,England,5,1,Friendly,Glasgow,Scotland,FALSE
1882-03-13,,Wales,11,England,5,3,Friendly,Wrexham,Wales,FALSE
1882-03-25,47,Scotland,,Wales,5,0,Friendly,Glasgow,Scotland,FALSE
1883-02-03,11,England,,Wales,5,0,Friendly,London,England,FALSE
1883-02-24,11,England,,Northern Ireland,7,0,Friendly,Liverpool,England,FALSE
1883-03-10,11,England,47,Scotland,2,3,Friendly,Sheffield,England,FALSE
1883-03-12,,Wales,47,Scotland,0,3,Friendly,Wrexham,Wales,FALSE
1884-01-26,,Northern Ireland,47,Scotland,0,5,British Home Championship,Belfast,Ireland,FALSE
1884-02-23,,Northern Ireland,11,England,1,8,British Home Championship,Belfast,Ireland,FALSE
1884-03-15,47,Scotland,11,England,1,0,British Home Championship,Glasgow,Scotland,FALSE
1884-03-17,,Wales,11,England,0,4,British Home Championship,Wrexham,Wales,FALSE
1884-03-29,47,Scotland,,Wales,4,1,British Home Championship,Glasgow,Scotland,FALSE
1885-02-28,11,England,,Northern Ireland,4,0,British Home Championship,Manchester,England,FALSE
1885-03-14,11,England,,Wales,1,1,British Home Championship,Blackburn,England,FALSE
1885-03-14,47,Scotland,,Northern Ireland,8,2,British Home Championship,Glasgow,Scotland,FALSE
1885-03-21,11,England,47,Scotland,1,1,British Home Championship,London,England,FALSE
1885-03-23,,Wales,47,Scotland,1,8,British Home Championship,Wrexham,Wales,FALSE
1885-11-28,12,United States,33,Canada,0,1,Friendly,Newark,United States,FALSE
1886-03-13,,Northern Ireland,11,England,1,6,British Home Championship,Belfast,Ireland,FALSE
1886-03-20,,Northern Ireland,47,Scotland,2,7,British Home Championship,Belfast,Ireland,FALSE
1886-03-27,47,Scotland,11,England,1,1,British Home Championship,Glasgow,Scotland,FALSE
1886-03-29,,Wales,11,England,1,3,British Home Championship,Wrexham,Wales,FALSE
1886-04-10,47,Scotland,,Wales,4,1,British Home Championship,Glasgow,Scotland,FALSE
1886-11-25,12,United States,33,Canada,3,2,Friendly,Newark,United States,FALSE
1887-02-05,11,England,,Northern Ireland,7,0,British Home Championship,Sheffield,England,FALSE
1887-02-19,47,Scotland,,Northern Ireland,4,1,British Home Championship,Glasgow,Scotland,FALSE
